Activity,Activity_Type,Activity_Qualifier,Activity_Value,Compound_CID,Protein_Accession,Label
Active,IC50,=,0.02512,155119750.0,O60885,1.0
Active,IC50,=,0.02512,131987198.0,O60885,1.0
Active,IC50,=,0.01,155119558.0,O60885,1.0
Active,IC50,=,0.2,137644977.0,O60885,1.0
Active,IC50,=,0.35,137661152.0,O60885,1.0
Active,IC50,=,0.12,137631627.0,O60885,1.0
Active,IC50,=,0.097,137661063.0,O60885,1.0
Active,IC50,=,0.068,137647012.0,O60885,1.0
Active,IC50,<,0.5,118022637.0,O60885,1.0
Active,IC50,<,0.5,118022352.0,O60885,1.0
Active,IC50,<,0.5,118022145.0,O60885,1.0
Active,IC50,<,0.5,118022366.0,O60885,1.0
Active,IC50,<,0.5,118027861.0,O60885,1.0
Active,IC50,<,0.5,156600934.0,O60885,1.0
Active,IC50,<,0.5,123177487.0,O60885,1.0
Active,IC50,<,0.5,123725054.0,O60885,1.0
Active,IC50,<,0.5,118027879.0,O60885,1.0
Active,IC50,<,0.5,118021635.0,O60885,1.0
Active,IC50,<,0.5,118021665.0,O60885,1.0
Active,IC50,<,0.5,118022774.0,O60885,1.0
Active,IC50,<,0.1,162533938.0,O60885,1.0
Active,IC50,<,0.5,123828294.0,O60885,1.0
Active,IC50,<,0.5,123362385.0,O60885,1.0
Active,IC50,<,0.5,118022098.0,O60885,1.0
Active,IC50,=,0.43,135567026.0,O60885,1.0
Active,IC50,=,0.49,137654107.0,O60885,1.0
Active,IC50,=,0.82,24156462.0,O60885,1.0
Active,IC50,=,0.026,49871817.0,O60885,1.0
Active,IC50,=,0.72,137631402.0,O60885,1.0
Active,IC50,=,0.78,82104609.0,O60885,1.0
Active,IC50,=,0.25119,52934042.0,O60885,1.0
Active,IC50,=,0.15849,66571282.0,O60885,1.0
Active,IC50,=,0.12589,71258916.0,O60885,1.0
Active,IC50,=,0.19953,70980220.0,O60885,1.0
Active,IC50,=,0.1,66571407.0,O60885,1.0
Active,IC50,=,0.19953,164621078.0,O60885,1.0
Active,IC50,=,0.03981,66571408.0,O60885,1.0
Active,IC50,=,0.02512,164627591.0,O60885,1.0
Active,IC50,=,0.03981,164622580.0,O60885,1.0
Active,IC50,=,0.63096,122705117.0,O60885,1.0
Active,IC50,=,0.31623,71258968.0,O60885,1.0
Active,IC50,=,0.50119,52934039.0,O60885,1.0
Active,IC50,=,0.12589,164612127.0,O60885,1.0
Active,IC50,=,0.01259,66571469.0,O60885,1.0
Active,IC50,=,0.12589,164622185.0,O60885,1.0
Active,IC50,=,0.63096,164618700.0,O60885,1.0
Active,IC50,=,0.39811,52934277.0,O60885,1.0
Active,IC50,=,0.25119,164628018.0,O60885,1.0
Active,IC50,=,0.07943,164627933.0,O60885,1.0
Active,IC50,=,0.63096,164609567.0,O60885,1.0
Active,Ki,=,0.03,136387525.0,O60885,1.0
Active,Ki,=,0.21,71812048.0,O60885,1.0
Active,Ki,=,0.016,136387543.0,O60885,1.0
Active,Ki,=,0.15,136387567.0,O60885,1.0
Active,Ki,=,0.0055,86287755.0,O60885,1.0
Active,Ki,=,0.12,86287687.0,O60885,1.0
Active,Ki,=,0.011,86287958.0,O60885,1.0
Active,IC50,=,0.13,137640141.0,O60885,1.0
Active,Ki,=,0.037,136387526.0,O60885,1.0
Active,Ki,=,0.011,86287690.0,O60885,1.0
Active,IC50,=,0.1,19704956.0,O60885,1.0
Active,IC50,=,0.018,57389999.0,O60885,1.0
Active,IC50,<,0.5,118021755.0,O60885,1.0
Active,IC50,<,0.5,118021740.0,O60885,1.0
Active,IC50,<,0.5,118022004.0,O60885,1.0
Active,IC50,<,0.5,118022104.0,O60885,1.0
Active,IC50,<,0.5,118022276.0,O60885,1.0
Active,IC50,<,0.5,123785696.0,O60885,1.0
Active,IC50,<,0.5,118022013.0,O60885,1.0
Active,IC50,<,0.5,118021507.0,O60885,1.0
Active,IC50,<,0.5,118022272.0,O60885,1.0
Active,IC50,<,0.5,118021992.0,O60885,1.0
Active,IC50,<,0.5,118022201.0,O60885,1.0
Active,IC50,<,0.5,123393134.0,O60885,1.0
Active,IC50,<,0.5,123445768.0,O60885,1.0
Active,IC50,<,0.5,118022078.0,O60885,1.0
Active,IC50,<,0.5,118021885.0,O60885,1.0
Active,IC50,<,0.5,123811664.0,O60885,1.0
Active,Ki,=,0.038,77843982.0,O60885,1.0
Active,Ki,=,0.017,90417643.0,O60885,1.0
Active,Ki,=,0.077,136387545.0,O60885,1.0
Active,Ki,=,0.098,78319129.0,O60885,1.0
Active,Ki,=,0.017,86287688.0,O60885,1.0
Active,IC50,=,0.38,137634784.0,O60885,1.0
Active,IC50,=,0.21,137649215.0,O60885,1.0
Active,IC50,=,0.24,137634124.0,O60885,1.0
Active,IC50,=,0.52,137637565.0,O60885,1.0
Active,IC50,=,0.68,137646067.0,O60885,1.0
Active,IC50,=,0.39,137655871.0,O60885,1.0
Active,IC50,=,0.076,132961531.0,O60885,1.0
Active,IC50,=,0.95499,145962602.0,O60885,1.0
Active,IC50,=,0.202,162717039.0,O60885,1.0
Active,IC50,=,0.132,162717041.0,O60885,1.0
Active,IC50,=,0.534,162717037.0,O60885,1.0
Active,IC50,=,0.14,137653223.0,O60885,1.0
Active,IC50,=,0.22,137661190.0,O60885,1.0
Active,IC50,=,0.26,118022209.0,O60885,1.0
Active,Kd,=,0.435,56929801.0,O60885,1.0
Active,IC50,=,0.58884,145960718.0,O60885,1.0
Active,IC50,=,0.95499,145963629.0,O60885,1.0
Active,IC50,=,0.63096,145961967.0,O60885,1.0
Active,IC50,=,0.72444,145961700.0,O60885,1.0
Active,IC50,=,0.48978,145962542.0,O60885,1.0
Active,IC50,=,0.29512,139547911.0,O60885,1.0
Active,IC50,=,0.166,145962174.0,O60885,1.0
Active,IC50,=,0.842,145961590.0,O60885,1.0
Active,IC50,=,0.166,145925690.0,O60885,1.0
Active,IC50,=,0.27,145962473.0,O60885,1.0
Active,IC50,=,0.604,145960489.0,O60885,1.0
Active,IC50,=,0.478,145962767.0,O60885,1.0
Active,IC50,=,0.235,132992936.0,O60885,1.0
Active,IC50,=,0.303,145962799.0,O60885,1.0
Active,Ki,=,0.0013,168286120.0,O60885,1.0
Active,IC50,=,0.67,127051526.0,O60885,1.0
Active,IC50,=,0.05,90667452.0,O60885,1.0
Active,IC50,=,0.525,177373895.0,O60885,1.0
Active,IC50,=,0.387,176023822.0,O60885,1.0
Active,IC50,=,0.319,176023824.0,O60885,1.0
Active,IC50,=,0.05,171481798.0,O60885,1.0
Active,IC50,=,0.097,177373902.0,O60885,1.0
Active,IC50,=,0.153,176023837.0,O60885,1.0
Active,IC50,=,0.319,176023820.0,O60885,1.0
Active,IC50,=,0.05,176023831.0,O60885,1.0
Active,IC50,=,0.058,172005863.0,O60885,1.0
Active,IC50,=,0.47,121414852.0,O60885,1.0
Active,IC50,=,0.05,121414854.0,O60885,1.0
Active,IC50,=,0.08,76683643.0,O60885,1.0
Active,IC50,=,0.017,86566737.0,O60885,1.0
Active,IC50,=,0.31,155352321.0,O60885,1.0
Active,IC50,=,0.15,154701104.0,O60885,1.0
Active,IC50,=,0.204,688798.0,O60885,1.0
Active,Kd,=,0.002,135124681.0,O60885,1.0
Active,IC50,=,0.386,168269647.0,O60885,1.0
Active,IC50,=,0.0602,154688905.0,O60885,1.0
Active,IC50,=,0.523,154688867.0,O60885,1.0
Active,IC50,=,0.5345,168276530.0,O60885,1.0
Active,IC50,=,0.0985,154689073.0,O60885,1.0
Active,IC50,=,0.2895,168296746.0,O60885,1.0
Active,IC50,=,0.469,168281605.0,O60885,1.0
Active,IC50,=,0.0009,153697670.0,O60885,1.0
Active,IC50,=,0.0011,153697673.0,O60885,1.0
Active,IC50,=,0.0022,168297523.0,O60885,1.0
Active,IC50,=,0.001,153697722.0,O60885,1.0
Active,IC50,=,0.003,118201262.0,O60885,1.0
