Activity,Activity_Type,Activity_Qualifier,Activity_Value,Compound_CID,Protein_Accession,Label
Active,IC50,<,0.1,118467740.0,O60885,1.0
Active,IC50,<,0.1,146012208.0,O60885,1.0
Active,IC50,,0.55,118467745.0,O60885,1.0
Active,IC50,<,0.1,118467741.0,O60885,1.0
Active,IC50,,0.55,92042835.0,O60885,1.0
Active,IC50,<,0.1,118467723.0,O60885,1.0
Active,IC50,,0.55,118467621.0,O60885,1.0
Active,IC50,,0.55,118467690.0,O60885,1.0
Active,IC50,<,0.1,118467736.0,O60885,1.0
Active,IC50,<,0.1,118467649.0,O60885,1.0
Active,IC50,,0.55,118467635.0,O60885,1.0
Active,IC50,<,0.1,146012214.0,O60885,1.0
Active,IC50,<,0.1,118467704.0,O60885,1.0
Active,IC50,<,0.1,118467674.0,O60885,1.0
Active,IC50,<,0.1,154700317.0,O60885,1.0
Active,IC50,<,0.1,146012206.0,O60885,1.0
Active,IC50,<,0.1,146012195.0,O60885,1.0
Active,IC50,,0.55,90408897.0,O60885,1.0
Active,IC50,<,0.1,90410892.0,O60885,1.0
Active,IC50,<,0.1,90409738.0,O60885,1.0
Active,IC50,<,0.1,86299193.0,O60885,1.0
Active,IC50,<,0.1,90408867.0,O60885,1.0
Active,IC50,<,0.1,138374598.0,O60885,1.0
Active,IC50,<,0.1,86299180.0,O60885,1.0
Active,IC50,<,0.1,138374595.0,O60885,1.0
Active,IC50,<,0.1,139410748.0,O60885,1.0
Active,IC50,<,0.1,90409515.0,O60885,1.0
Active,IC50,<,0.1,90409503.0,O60885,1.0
Active,IC50,<,0.1,90410377.0,O60885,1.0
Active,IC50,<,0.1,86299236.0,O60885,1.0
Active,IC50,<,0.1,90408831.0,O60885,1.0
Active,IC50,<,0.1,90409621.0,O60885,1.0
Active,IC50,<,0.1,90409550.0,O60885,1.0
Active,IC50,<,0.1,138374594.0,O60885,1.0
Active,IC50,<,0.1,154584691.0,O60885,1.0
Active,IC50,,0.55,154584694.0,O60885,1.0
Active,IC50,<,0.1,90410546.0,O60885,1.0
Active,IC50,<,0.1,90409153.0,O60885,1.0
Active,IC50,<,0.1,86299190.0,O60885,1.0
Active,IC50,<,0.1,90409659.0,O60885,1.0
Active,IC50,<,0.1,90411050.0,O60885,1.0
Active,IC50,<,0.1,90438021.0,O60885,1.0
Active,IC50,,0.55,86299164.0,O60885,1.0
Active,IC50,<,0.1,90409685.0,O60885,1.0
Active,IC50,<,0.1,86299123.0,O60885,1.0
Active,IC50,<,0.1,90409961.0,O60885,1.0
Active,IC50,<,0.1,86299234.0,O60885,1.0
Active,IC50,,0.55,138374604.0,O60885,1.0
Active,IC50,<,0.1,90409469.0,O60885,1.0
Active,IC50,<,0.1,86299238.0,O60885,1.0
Active,Ki,<,0.001,118340663.0,O60885,1.0
Active,Ki,<,0.001,118340729.0,O60885,1.0
Active,Ki,=,0.0167,118340596.0,O60885,1.0
Active,Ki,=,0.0012,118340796.0,O60885,1.0
Active,Ki,=,0.0007,118340603.0,O60885,1.0
Active,Ki,=,0.0024,118340668.0,O60885,1.0
Active,Ki,=,0.0017,118340697.0,O60885,1.0
Active,Ki,<,0.001,118340843.0,O60885,1.0
Active,Ki,=,0.0063,118340676.0,O60885,1.0
Active,Ki,=,0.0005,118340538.0,O60885,1.0
Active,Ki,=,0.0665,118340653.0,O60885,1.0
Active,Ki,<,0.001,118340720.0,O60885,1.0
Active,Ki,=,0.031,118340741.0,O60885,1.0
Active,Ki,=,0.0049,118340834.0,O60885,1.0
Active,IC50,=,0.0044,118340612.0,O60885,1.0
Active,Kd,=,0.0008,118340554.0,O60885,1.0
Active,IC50,=,0.0004,154022894.0,O60885,1.0
Active,Ki,=,0.0008,90395617.0,O60885,1.0
Active,Ki,=,0.0779,118340714.0,O60885,1.0
Active,Ki,=,0.0031,118340726.0,O60885,1.0
Active,Ki,=,0.0284,118340789.0,O60885,1.0
Active,Ki,=,0.0215,118340530.0,O60885,1.0
Active,Ki,=,0.0082,90395752.0,O60885,1.0
Active,Ki,=,0.0026,118340548.0,O60885,1.0
Active,Ki,=,0.0034,118340650.0,O60885,1.0
Active,Ki,=,0.078,118340646.0,O60885,1.0
Active,Ki,=,0.0158,118340710.0,O60885,1.0
Active,Ki,<,0.001,118340684.0,O60885,1.0
Active,Ki,=,0.0008,118340760.0,O60885,1.0
Active,Ki,=,0.002,118340551.0,O60885,1.0
Active,IC50,=,0.083,72943187.0,O60885,1.0
Active,Kd,=,0.054,118889467.0,O60885,1.0
Active,Kd,=,0.194,46843906.0,O60885,1.0
Active,Kd,=,0.12,25015677.0,O60885,1.0
Active,IC50,=,0.79,137285009.0,O60885,1.0
Active,IC50,=,0.49,137285011.0,O60885,1.0
Active,IC50,=,0.0006,166631461.0,O60885,1.0
Active,IC50,=,0.0008,118196485.0,O60885,1.0
Active,IC50,=,0.004,122688409.0,O60885,1.0
Active,IC50,=,0.0006,122688445.0,O60885,1.0
Active,IC50,=,0.074,72945554.0,O60885,1.0
Active,IC50,=,0.25,72945555.0,O60885,1.0
Active,IC50,=,0.026,57345400.0,O60885,1.0
Active,IC50,=,0.3,73352402.0,O60885,1.0
Active,IC50,,0.00613,54588805.0,O60885,1.0
Active,Kd,=,0.205,71604307.0,O60885,1.0
Active,IC50,=,0.32,57344431.0,O60885,1.0
Active,IC50,=,0.18,73350913.0,O60885,1.0
Active,IC50,=,0.29,72945553.0,O60885,1.0
Active,IC50,<,0.1,118467653.0,O60885,1.0
Active,IC50,=,0.88,145971747.0,O60885,1.0
Active,IC50,=,0.49,145953592.0,O60885,1.0
Active,IC50,=,0.29,145954698.0,O60885,1.0
Active,IC50,=,0.18,145956910.0,O60885,1.0
Active,IC50,=,0.48,145953663.0,O60885,1.0
Active,IC50,=,0.62,145953287.0,O60885,1.0
Active,IC50,=,0.52,145957886.0,O60885,1.0
Active,IC50,=,0.51,145949319.0,O60885,1.0
Active,IC50,=,0.27,145949385.0,O60885,1.0
Active,IC50,=,0.29,145958596.0,O60885,1.0
Active,IC50,=,0.25119,52936135.0,O60885,1.0
Active,IC50,=,0.39811,73352391.0,O60885,1.0
Active,IC50,=,0.50119,52933160.0,O60885,1.0
Active,IC50,=,0.39811,51003468.0,O60885,1.0
Active,IC50,=,0.36,145959530.0,O60885,1.0
Active,IC50,=,0.86,145954453.0,O60885,1.0
Active,Kd,=,0.11,134828588.0,O60885,1.0
Active,IC50,=,0.14,118732078.0,O60885,1.0
Active,IC50,=,0.22,71271629.0,O60885,1.0
Active,IC50,=,0.0127,90395720.0,O60885,1.0
Active,IC50,=,0.199,145965062.0,O60885,1.0
Active,IC50,=,0.0011,90395619.0,O60885,1.0
Active,IC50,=,0.165,90395622.0,O60885,1.0
Active,IC50,=,0.0487,145964377.0,O60885,1.0
Active,IC50,=,0.0897,90395610.0,O60885,1.0
Active,IC50,=,0.863,86277842.0,O60885,1.0
Active,IC50,=,0.26,162526522.0,O60885,1.0
Active,IC50,=,0.525,162526525.0,O60885,1.0
Active,IC50,=,0.50119,67195278.0,O60885,1.0
Active,Ki,=,0.0412,90395611.0,O60885,1.0
Active,Ki,=,0.0443,90395630.0,O60885,1.0
Active,Ki,=,0.0071,90395627.0,O60885,1.0
Active,Ki,=,0.0028,90395649.0,O60885,1.0
Active,Ki,=,0.0786,90395718.0,O60885,1.0
Active,Ki,=,0.129,90395738.0,O60885,1.0
Active,Ki,=,0.0225,90395643.0,O60885,1.0
Active,Ki,=,0.012,129214093.0,O60885,1.0
Active,Ki,<,0.0005,145966193.0,O60885,1.0
Active,Ki,=,0.0091,90395644.0,O60885,1.0
Active,IC50,=,0.128,90395722.0,O60885,1.0
Active,IC50,=,0.0635,90395609.0,O60885,1.0
Active,Ki,=,0.0011,90395625.0,O60885,1.0
Active,Ki,=,0.007,90395646.0,O60885,1.0
Active,Ki,<,0.0005,145974859.0,O60885,1.0
Active,Ki,=,0.0057,90395734.0,O60885,1.0
Active,IC50,=,0.0363,145967245.0,O60885,1.0
Active,IC50,=,0.0155,90395721.0,O60885,1.0
Active,IC50,=,0.0324,90395631.0,O60885,1.0
Active,IC50,=,0.0146,90395724.0,O60885,1.0
Active,Ki,=,0.122,90395725.0,O60885,1.0
Active,Ki,=,0.139,90395727.0,O60885,1.0
Active,IC50,=,0.79433,118719862.0,O60885,1.0
Active,IC50,=,0.63096,118719857.0,O60885,1.0
Active,IC50,<,0.1,155921812.0,O60885,1.0
Active,Kd,=,0.0076,126582741.0,O60885,1.0
Active,IC50,=,0.06,118079235.0,O60885,1.0
Active,IC50,=,0.42,118079652.0,O60885,1.0
Active,IC50,=,0.65,118317783.0,O60885,1.0
Active,IC50,=,0.0003981,52912222.0,O60885,1.0
Active,IC50,=,0.63096,118719859.0,O60885,1.0
Active,IC50,=,0.79433,118719867.0,O60885,1.0
Active,IC50,=,0.31623,118719865.0,O60885,1.0
Active,IC50,=,0.50119,68161669.0,O60885,1.0
Active,IC50,=,0.63096,52932793.0,O60885,1.0
Active,IC50,=,0.79433,118719856.0,O60885,1.0
Active,IC50,=,0.50119,118719870.0,O60885,1.0
Active,Kd,=,0.183,122539896.0,O60885,1.0
Active,Kd,=,0.015,124201823.0,O60885,1.0
Active,Kd,=,0.026,122551830.0,O60885,1.0
Active,Kd,=,0.009,122201421.0,O60885,1.0
Active,Kd,=,0.003,122551835.0,O60885,1.0
Active,IC50,=,0.007,135397673.0,O60885,1.0
Active,IC50,=,0.37,118078883.0,O60885,1.0
Active,IC50,=,0.0065,145977309.0,O60885,1.0
Active,IC50,=,0.2,90387844.0,O60885,1.0
Active,IC50,=,0.023,78320817.0,O60885,1.0
Active,IC50,=,0.0017,78425807.0,O60885,1.0
Active,IC50,=,0.0036,86270928.0,O60885,1.0
Active,IC50,=,0.032,145978789.0,O60885,1.0
Active,IC50,=,0.009,118863432.0,O60885,1.0
Active,IC50,=,0.018,145974124.0,O60885,1.0
Active,IC50,=,0.15,90388309.0,O60885,1.0
Active,IC50,=,0.031,145978248.0,O60885,1.0
Active,IC50,=,0.048,145965388.0,O60885,1.0
Active,Ki,=,0.0071,86270651.0,O60885,1.0
Active,Ki,=,0.18,78320816.0,O60885,1.0
Active,Ki,=,0.0029,145966522.0,O60885,1.0
Active,Ki,=,0.0025,145972103.0,O60885,1.0
Active,Ki,=,0.016,86270929.0,O60885,1.0
Active,Ki,=,0.026,86270831.0,O60885,1.0
Active,IC50,=,0.095,78321451.0,O60885,1.0
Active,IC50,,0.562,166058987.0,O60885,1.0
Active,IC50,,0.247,172130893.0,O60885,1.0
Active,IC50,=,0.001,137448670.0,O60885,1.0
Active,Ki,=,0.0047,86271129.0,O60885,1.0
Active,IC50,,0.018,135276477.0,O60885,1.0
Active,IC50,,0.02,135276212.0,O60885,1.0
Active,IC50,,0.033,142745967.0,O60885,1.0
Active,IC50,,0.018,142746101.0,O60885,1.0
Active,IC50,,0.018,142406543.0,O60885,1.0
Active,IC50,,0.016,142746189.0,O60885,1.0
Active,IC50,,0.031,135276401.0,O60885,1.0
Active,IC50,,0.041,142745847.0,O60885,1.0
Active,IC50,,0.018,142745923.0,O60885,1.0
Active,IC50,,0.035,142745929.0,O60885,1.0
Active,IC50,,0.089,142406430.0,O60885,1.0
Active,IC50,,0.03,135276345.0,O60885,1.0
Active,IC50,,0.006,142746116.0,O60885,1.0
Active,IC50,,0.021,142746071.0,O60885,1.0
Active,IC50,,0.031,135276055.0,O60885,1.0
Active,IC50,,0.034,142745970.0,O60885,1.0
Active,Kd,=,0.1,73353948.0,O60885,1.0
Active,IC50,,0.486,166059014.0,O60885,1.0
Active,IC50,,0.86,166059012.0,O60885,1.0
Active,IC50,<,0.1,90409038.0,O60885,1.0
Active,IC50,=,0.2855,142296601.0,O60885,1.0
Active,IC50,=,0.1525,142296605.0,O60885,1.0
Active,IC50,=,0.0313,142296555.0,O60885,1.0
Active,IC50,=,0.1758,142296563.0,O60885,1.0
Active,IC50,=,0.0136,142296589.0,O60885,1.0
Active,IC50,=,0.0209,142296546.0,O60885,1.0
Active,IC50,=,0.0607,142296575.0,O60885,1.0
Active,IC50,=,0.0103,142296525.0,O60885,1.0
Active,IC50,=,0.0623,142296562.0,O60885,1.0
Active,IC50,,0.036,135276170.0,O60885,1.0
Active,IC50,,0.069,146342066.0,O60885,1.0
Active,IC50,,0.022,146342150.0,O60885,1.0
Active,IC50,,0.013,146342053.0,O60885,1.0
Active,IC50,,0.023,135276197.0,O60885,1.0
Active,IC50,,0.085,142406697.0,O60885,1.0
Active,IC50,,0.026,135276210.0,O60885,1.0
Active,IC50,,0.026,142746153.0,O60885,1.0
Active,IC50,,0.014,142746015.0,O60885,1.0
Active,IC50,,0.028,142746146.0,O60885,1.0
Active,IC50,,0.06,142746174.0,O60885,1.0
Active,IC50,,0.04,146314794.0,O60885,1.0
Active,IC50,,0.058,142406688.0,O60885,1.0
Active,IC50,,0.032,142746245.0,O60885,1.0
Active,IC50,,0.008,146342162.0,O60885,1.0
Active,IC50,,0.019,142746170.0,O60885,1.0
Active,IC50,,0.55,86299113.0,O60885,1.0
Active,IC50,<,0.1,90410066.0,O60885,1.0
Active,IC50,<,0.1,90408940.0,O60885,1.0
Active,IC50,<,0.1,86299118.0,O60885,1.0
Active,IC50,<,0.1,90409355.0,O60885,1.0
Active,IC50,,0.55,90409049.0,O60885,1.0
Active,IC50,<,0.1,86299111.0,O60885,1.0
Active,IC50,<,0.1,90409236.0,O60885,1.0
Active,IC50,<,0.1,90409651.0,O60885,1.0
Active,IC50,,0.55,90409629.0,O60885,1.0
Active,IC50,<,0.1,90410321.0,O60885,1.0
Active,IC50,,0.55,138374586.0,O60885,1.0
Active,IC50,,0.55,90409533.0,O60885,1.0
Active,IC50,<,0.1,86298910.0,O60885,1.0
Active,IC50,<,0.1,90409578.0,O60885,1.0
Active,IC50,=,0.008,155515565.0,O60885,1.0
Active,IC50,<,0.1,90409679.0,O60885,1.0
Active,IC50,<,0.1,86299120.0,O60885,1.0
Active,IC50,<,0.1,86299117.0,O60885,1.0
Active,IC50,<,0.1,90410172.0,O60885,1.0
Active,IC50,<,0.1,86299108.0,O60885,1.0
Active,IC50,<,0.1,90409127.0,O60885,1.0
Active,IC50,,0.55,86299112.0,O60885,1.0
Active,IC50,,0.55,138374588.0,O60885,1.0
Active,IC50,=,0.0018,78321130.0,O60885,1.0
Active,IC50,=,0.07,122164734.0,O60885,1.0
Active,Ki,=,0.038,86299084.0,O60885,1.0
Active,IC50,=,0.01,155514303.0,O60885,1.0
Active,IC50,=,0.01,155552472.0,O60885,1.0
Active,IC50,=,0.027,71532084.0,O60885,1.0
Active,Kd,=,0.237,52670832.0,O60885,1.0
Active,IC50,=,0.0013,118509530.0,O60885,1.0
Active,IC50,=,0.012,137633986.0,O60885,1.0
Active,IC50,=,0.02,155545073.0,O60885,1.0
Active,IC50,=,0.01,78320336.0,O60885,1.0
Active,IC50,=,0.02,77108173.0,O60885,1.0
Active,IC50,=,0.31623,155546607.0,O60885,1.0
Active,Ki,=,0.015,130345558.0,O60885,1.0
Active,Ki,=,0.028,155548743.0,O60885,1.0
Active,Ki,=,0.0096,155515131.0,O60885,1.0
Active,IC50,=,0.71,118021764.0,O60885,1.0
Active,IC50,=,0.51,118021721.0,O60885,1.0
Active,IC50,=,0.05,118021720.0,O60885,1.0
Active,IC50,=,0.015,118021476.0,O60885,1.0
Active,IC50,=,0.27,155510893.0,O60885,1.0
Active,IC50,=,0.0666,130345579.0,O60885,1.0
Active,Ki,=,0.0033,155516103.0,O60885,1.0
Active,Ki,=,0.013,155514289.0,O60885,1.0
Active,Ki,=,0.0021,130345617.0,O60885,1.0
Active,IC50,=,0.72,130357671.0,O60885,1.0
Active,Ki,=,0.066,155526395.0,O60885,1.0
Active,Ki,=,0.19,130345500.0,O60885,1.0
Active,IC50,=,0.002,118021718.0,O60885,1.0
Active,IC50,=,0.15,118021799.0,O60885,1.0
Active,IC50,=,0.009,118022380.0,O60885,1.0
Active,Ki,=,0.0037,155522830.0,O60885,1.0
Active,Ki,=,0.0095,155526357.0,O60885,1.0
Active,Ki,=,0.013,130345532.0,O60885,1.0
Active,Ki,=,0.07,130345485.0,O60885,1.0
Active,IC50,=,0.13,118021930.0,O60885,1.0
Active,IC50,=,0.75,118021977.0,O60885,1.0
Active,IC50,=,0.009,118021678.0,O60885,1.0
Active,IC50,=,0.27,118021851.0,O60885,1.0
Active,IC50,=,0.15,118021984.0,O60885,1.0
Active,IC50,=,0.24,118022070.0,O60885,1.0
Active,Ki,=,0.068,155552754.0,O60885,1.0
Active,Ki,=,0.068,155551427.0,O60885,1.0
Active,IC50,=,0.1,130345614.0,O60885,1.0
Active,IC50,=,0.013,130357741.0,O60885,1.0
Active,Ki,=,0.0042,130345606.0,O60885,1.0
Active,IC50,,0.061,142746107.0,O60885,1.0
Active,IC50,,0.002,135276425.0,O60885,1.0
Active,IC50,,0.033,146342084.0,O60885,1.0
Active,IC50,,0.031,135276220.0,O60885,1.0
Active,IC50,,0.011,135276196.0,O60885,1.0
Active,IC50,,0.063,146342052.0,O60885,1.0
Active,IC50,,0.02,135276066.0,O60885,1.0
Active,IC50,,0.069,142746236.0,O60885,1.0
Active,IC50,,0.051,142746085.0,O60885,1.0
Active,IC50,,0.02,142746079.0,O60885,1.0
Active,IC50,,0.057,135276243.0,O60885,1.0
Active,IC50,,0.009,142406713.0,O60885,1.0
Active,IC50,,0.01,162370172.0,O60885,1.0
Active,IC50,,0.035,142745957.0,O60885,1.0
Active,IC50,,0.012,142745937.0,O60885,1.0
Active,IC50,,0.046,146342039.0,O60885,1.0
Active,IC50,=,0.79,155533835.0,O60885,1.0
Active,IC50,=,0.002,118022691.0,O60885,1.0
Active,IC50,=,0.42,118021357.0,O60885,1.0
Active,IC50,=,0.41,118021399.0,O60885,1.0
Active,IC50,<,0.025,118196371.0,O60885,1.0
Active,IC50,<,0.025,137529559.0,O60885,1.0
Active,IC50,<,0.001,122689911.0,O60885,1.0
Active,IC50,<,0.001,122695943.0,O60885,1.0
Active,IC50,<,0.001,122689914.0,O60885,1.0
Active,IC50,<,0.001,138374971.0,O60885,1.0
Active,IC50,<,0.001,122689906.0,O60885,1.0
Active,IC50,<,0.005,138374947.0,O60885,1.0
Active,IC50,<,0.001,138374969.0,O60885,1.0
Active,IC50,<,0.001,138374950.0,O60885,1.0
Active,IC50,<,0.005,122689860.0,O60885,1.0
Active,IC50,<,0.005,138374970.0,O60885,1.0
Active,IC50,=,0.85,155535800.0,O60885,1.0
Active,IC50,<,0.005,137529529.0,O60885,1.0
Active,IC50,<,0.025,137529509.0,O60885,1.0
Active,IC50,<,0.005,118196369.0,O60885,1.0
Active,IC50,<,0.025,137529519.0,O60885,1.0
Active,IC50,<,0.005,137529510.0,O60885,1.0
Active,IC50,<,0.005,137529619.0,O60885,1.0
Active,IC50,<,0.005,118201275.0,O60885,1.0
Active,IC50,<,0.025,137529608.0,O60885,1.0
Active,IC50,<,0.025,121412175.0,O60885,1.0
Active,IC50,<,0.005,118201193.0,O60885,1.0
Active,IC50,<,0.005,137529524.0,O60885,1.0
Active,IC50,<,0.025,137529508.0,O60885,1.0
Active,IC50,<,0.005,118196578.0,O60885,1.0
Active,IC50,<,0.005,118196995.0,O60885,1.0
Active,IC50,<,0.005,121422513.0,O60885,1.0
Active,IC50,<,0.005,118196399.0,O60885,1.0
Active,IC50,<,0.005,137529549.0,O60885,1.0
Active,IC50,<,0.025,137529513.0,O60885,1.0
Active,IC50,<,0.005,118196517.0,O60885,1.0
Active,IC50,<,0.005,137529610.0,O60885,1.0
Active,IC50,<,0.025,118196443.0,O60885,1.0
Active,IC50,<,0.005,137529581.0,O60885,1.0
Active,IC50,<,0.025,137529536.0,O60885,1.0
Active,IC50,<,0.005,118196351.0,O60885,1.0
Active,IC50,<,0.005,118196511.0,O60885,1.0
Active,IC50,<,0.005,121422483.0,O60885,1.0
Active,IC50,<,0.005,137529606.0,O60885,1.0
Active,IC50,<,0.005,137529604.0,O60885,1.0
Active,IC50,<,0.025,137529544.0,O60885,1.0
Active,IC50,<,0.005,118196322.0,O60885,1.0
Active,IC50,=,0.92,118021398.0,O60885,1.0
Active,IC50,=,0.46,118021773.0,O60885,1.0
Active,IC50,=,0.25,118022184.0,O60885,1.0
Active,IC50,<,0.005,137529617.0,O60885,1.0
Active,IC50,<,0.005,137529602.0,O60885,1.0
Active,IC50,<,0.025,118196493.0,O60885,1.0
Active,IC50,<,0.005,118196729.0,O60885,1.0
Active,IC50,<,0.005,118196544.0,O60885,1.0
Active,IC50,<,0.005,137529635.0,O60885,1.0
Active,IC50,<,0.005,121422526.0,O60885,1.0
Active,IC50,<,0.005,137529626.0,O60885,1.0
Active,IC50,<,0.005,137529589.0,O60885,1.0
Active,IC50,=,0.86,117841270.0,O60885,1.0
Active,IC50,=,0.904,117834606.0,O60885,1.0
Active,IC50,=,0.474,117834615.0,O60885,1.0
Active,IC50,=,0.562,117841255.0,O60885,1.0
Active,IC50,=,0.637,86208116.0,O60885,1.0
Active,IC50,=,0.91,118022972.0,O60885,1.0
Active,IC50,=,0.049,118022125.0,O60885,1.0
Active,IC50,,0.00508,146322268.0,O60885,1.0
Active,IC50,,0.0045,146322269.0,O60885,1.0
Active,IC50,,0.0065,146322281.0,O60885,1.0
Active,IC50,,0.0049,146322236.0,O60885,1.0
Active,IC50,,0.0067,146322254.0,O60885,1.0
Active,IC50,,0.0046,146322280.0,O60885,1.0
Active,IC50,,0.0092,146322227.0,O60885,1.0
Active,IC50,,0.009,135276110.0,O60885,1.0
Active,IC50,,0.004,135276414.0,O60885,1.0
Active,IC50,,0.019,142746164.0,O60885,1.0
Active,IC50,,0.044,135276282.0,O60885,1.0
Active,IC50,,0.081,142746083.0,O60885,1.0
Active,IC50,,0.0051,146322248.0,O60885,1.0
Active,IC50,,0.0049,146322270.0,O60885,1.0
Active,IC50,,0.0067,146322219.0,O60885,1.0
Active,IC50,=,0.011,172439896.0,O60885,1.0
Active,IC50,=,0.0041,172456512.0,O60885,1.0
Active,IC50,=,0.107,145972845.0,O60885,1.0
Active,IC50,=,0.059,145976646.0,O60885,1.0
Active,IC50,=,0.095,145972360.0,O60885,1.0
Active,IC50,=,0.104,145964543.0,O60885,1.0
Active,IC50,=,0.421,145967512.0,O60885,1.0
Active,IC50,=,0.107,145965219.0,O60885,1.0
Active,IC50,=,0.183,145978238.0,O60885,1.0
Active,IC50,=,0.65,145972096.0,O60885,1.0
Active,IC50,=,0.084,11260691.0,O60885,1.0
Active,IC50,=,0.0784,164611711.0,O60885,1.0
Active,IC50,<,0.005,118196574.0,O60885,1.0
Active,IC50,<,0.005,118196819.0,O60885,1.0
Active,IC50,<,0.005,137529591.0,O60885,1.0
Active,IC50,<,0.005,137529579.0,O60885,1.0
Active,IC50,<,0.005,137529555.0,O60885,1.0
Active,IC50,<,0.005,137529534.0,O60885,1.0
Active,IC50,<,0.005,118201260.0,O60885,1.0
Active,IC50,=,0.011,177379672.0,O60885,1.0
Active,IC50,=,0.365,172451335.0,O60885,1.0
Active,IC50,=,0.0105,172448305.0,O60885,1.0
Active,IC50,=,0.164,172455925.0,O60885,1.0
Active,IC50,=,0.0064,172458725.0,O60885,1.0
Active,IC50,=,0.4149,162371059.0,O60885,1.0
Active,IC50,<,0.005,118196774.0,O60885,1.0
Active,IC50,<,0.005,137529566.0,O60885,1.0
Active,IC50,<,0.005,118201217.0,O60885,1.0
Active,IC50,<,0.025,137529538.0,O60885,1.0
Active,IC50,<,0.025,137529522.0,O60885,1.0
Active,IC50,<,0.005,137529504.0,O60885,1.0
Active,IC50,<,0.005,118196664.0,O60885,1.0
Active,IC50,<,0.025,118201263.0,O60885,1.0
Active,IC50,<,0.005,118196697.0,O60885,1.0
Active,IC50,<,0.005,121422544.0,O60885,1.0
Active,IC50,<,0.005,121422539.0,O60885,1.0
Active,IC50,<,0.005,137529629.0,O60885,1.0
Active,IC50,<,0.005,121422517.0,O60885,1.0
Active,IC50,<,0.005,121422508.0,O60885,1.0
Active,IC50,<,0.025,121422504.0,O60885,1.0
Active,IC50,<,0.005,118196631.0,O60885,1.0
Active,IC50,<,0.005,137529636.0,O60885,1.0
Active,IC50,<,0.005,118201259.0,O60885,1.0
Active,IC50,<,0.005,118201223.0,O60885,1.0
Active,IC50,<,0.005,118196619.0,O60885,1.0
Active,IC50,<,0.005,118201197.0,O60885,1.0
Active,IC50,<,0.005,118196659.0,O60885,1.0
Active,IC50,<,0.005,137529594.0,O60885,1.0
Active,IC50,<,0.005,137529571.0,O60885,1.0
Active,IC50,<,0.005,118196455.0,O60885,1.0
Active,IC50,<,0.005,118196488.0,O60885,1.0
Active,IC50,<,0.005,121422548.0,O60885,1.0
Active,IC50,<,0.005,118201222.0,O60885,1.0
Active,IC50,<,0.005,137529628.0,O60885,1.0
Active,IC50,<,0.005,118196421.0,O60885,1.0
Active,IC50,<,0.005,118196599.0,O60885,1.0
Active,IC50,<,0.005,118196702.0,O60885,1.0
Active,IC50,<,0.005,137529578.0,O60885,1.0
Active,IC50,<,0.005,137529554.0,O60885,1.0
Active,IC50,<,0.025,137529540.0,O60885,1.0
Active,IC50,<,0.005,118201284.0,O60885,1.0
Active,IC50,<,0.005,118196295.0,O60885,1.0
Active,IC50,<,0.005,137529568.0,O60885,1.0
Active,IC50,<,0.005,137529553.0,O60885,1.0
Active,IC50,<,0.005,118196300.0,O60885,1.0
Active,IC50,<,0.005,118196440.0,O60885,1.0
Active,IC50,<,0.005,118201234.0,O60885,1.0
Active,IC50,<,0.005,118201281.0,O60885,1.0
Active,IC50,<,0.005,118196509.0,O60885,1.0
Active,IC50,<,0.005,118201226.0,O60885,1.0
Active,IC50,<,0.005,121422511.0,O60885,1.0
Active,IC50,<,0.005,137529616.0,O60885,1.0
Active,IC50,<,0.005,118196727.0,O60885,1.0
Active,IC50,<,0.005,137529597.0,O60885,1.0
Active,IC50,<,0.005,137529557.0,O60885,1.0
Active,IC50,<,0.005,137529521.0,O60885,1.0
Active,IC50,<,0.005,118201252.0,O60885,1.0
Active,IC50,<,0.005,118201239.0,O60885,1.0
Active,IC50,<,0.005,118196571.0,O60885,1.0
Active,IC50,<,0.005,121422550.0,O60885,1.0
Active,IC50,<,0.005,118196451.0,O60885,1.0
Active,IC50,<,0.005,118196636.0,O60885,1.0
Active,IC50,<,0.005,118197415.0,O60885,1.0
Active,IC50,<,0.005,118196297.0,O60885,1.0
Active,IC50,<,0.005,137529572.0,O60885,1.0
Active,IC50,<,0.005,137529550.0,O60885,1.0
Active,IC50,=,0.484,145988169.0,O60885,1.0
Active,IC50,=,0.0738,142296560.0,O60885,1.0
Active,IC50,=,0.1845,145965052.0,O60885,1.0
Active,IC50,=,0.0174,142296573.0,O60885,1.0
Active,IC50,=,0.0159,142296607.0,O60885,1.0
Active,IC50,<,0.005,118201272.0,O60885,1.0
Active,IC50,<,0.005,137529531.0,O60885,1.0
Active,IC50,<,0.005,118196386.0,O60885,1.0
Active,IC50,<,0.005,118196429.0,O60885,1.0
Active,IC50,=,0.2385,142296514.0,O60885,1.0
Active,IC50,=,0.1775,142296604.0,O60885,1.0
Active,IC50,=,0.199,142296579.0,O60885,1.0
Active,IC50,=,0.0105,142296533.0,O60885,1.0
Active,IC50,=,0.0204,142296515.0,O60885,1.0
Active,IC50,=,0.1895,142296553.0,O60885,1.0
Active,IC50,=,0.1075,145966026.0,O60885,1.0
Active,IC50,<,0.005,118196591.0,O60885,1.0
Active,IC50,<,0.005,137529633.0,O60885,1.0
Active,IC50,<,0.005,118201231.0,O60885,1.0
Active,IC50,<,0.005,121422512.0,O60885,1.0
Active,IC50,<,0.005,137529622.0,O60885,1.0
Active,IC50,<,0.005,137529621.0,O60885,1.0
